coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
John Harbaugh,2008,46,BAL,NFL,16,11,5,0,.688,9.8,4.2,5.6,3,2,1,.667,2,10,5,
John Harbaugh,2009,47,BAL,NFL,16,9,7,0,.563,7.5,2.6,4.9,2,1,1,.500,2,13,7,
John Harbaugh,2010,48,BAL,NFL,16,12,4,0,.750,6.4,0.9,5.5,2,1,1,.500,2,9,1,
John Harbaugh,2011,49,BAL,NFL,16,12,4,0,.750,6.1,2.6,3.5,2,1,1,.500,1,12,7,
John Harbaugh,2012,50,BAL,NFL,16,10,6,0,.625,2.9,1.9,1.0,4,4,0,1.000,1,7,3,Super Bowl Champions
John Harbaugh,2013,51,BAL,NFL,16,8,8,0,.500,-3.5,-5.0,1.4,,,,,3,12,7,
John Harbaugh,2014,52,BAL,NFL,16,10,6,0,.625,4.6,1.8,2.8,2,1,1,.500,3,9,2,
John Harbaugh,2015,53,BAL,NFL,16,5,11,0,.313,-1.9,-0.7,-1.2,,,,,3,8,3,
John Harbaugh,2016,54,BAL,NFL,16,8,8,0,.500,1.5,-1.1,2.6,,,,,2,5,2,
John Harbaugh,2017,55,BAL,NFL,16,9,7,0,.563,3.4,2.2,1.2,,,,,2,7,5,
John Harbaugh,2018,56,BAL,NFL,16,10,6,0,.625,7.0,0.6,6.4,1,0,1,.000,1,7,4,
John Harbaugh,2019,57,BAL,NFL,16,14,2,0,.875,15.6,11.0,4.7,1,0,1,.000,1,6,0,
John Harbaugh,2020,58,BAL,NFL,16,11,5,0,.688,8.3,3.9,4.3,2,1,1,.500,2,6,3,
John Harbaugh,2021,59,BAL,NFL,17,8,9,0,.471,-0.3,-0.3,0.0,,,,,4,6,3,
John Harbaugh,2022,60,BAL,NFL,17,10,7,0,.588,3.1,-0.2,3.4,1,0,1,.000,2,7,2,
John Harbaugh,2023,61,BAL,NFL,17,13,4,0,.765,13.2,6.7,6.5,2,1,1,.500,1,3,0,
John Harbaugh,2024,62,BAL,NFL,17,12,5,0,.706,9.9,8.0,1.9,2,1,1,.500,1,4,1,
John Harbaugh,2025,63,BAL,NFL,17,8,9,0,.471,1.1,1.8,-0.7,,,,,2,4,3,
