coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%,Rank,Num,Won,Notes
Mike McCarthy,2006,43,GNB,NFL,16,8,8,0,.500,-4.4,-2.3,-2.1,,,,,2,4,2,
Mike McCarthy,2007,44,GNB,NFL,16,13,3,0,.813,9.0,5.7,3.3,2,1,1,.500,1,11,5,
Mike McCarthy,2008,45,GNB,NFL,16,6,10,0,.375,2.9,4.1,-1.2,,,,,3,7,4,
Mike McCarthy,2009,46,GNB,NFL,16,11,5,0,.688,7.4,6.3,1.1,1,0,1,.000,2,14,5,
Mike McCarthy,2010,47,GNB,NFL,16,10,6,0,.625,10.9,3.1,7.9,4,4,0,1.000,2,8,4,Super Bowl Champions
Mike McCarthy,2011,48,GNB,NFL,16,15,1,0,.938,11.4,11.5,-0.1,1,0,1,.000,1,11,6,
Mike McCarthy,2012,49,GNB,NFL,16,11,5,0,.688,7.3,4.9,2.4,2,1,1,.500,1,9,6,
Mike McCarthy,2013,50,GNB,NFL,16,8,7,1,.531,-3.1,0.5,-3.6,1,0,1,.000,1,5,2,
Mike McCarthy,2014,51,GNB,NFL,16,12,4,0,.750,8.3,7.9,0.4,2,1,1,.500,1,6,1,
Mike McCarthy,2015,52,GNB,NFL,16,10,6,0,.625,5.3,2.0,3.3,2,1,1,.500,2,8,5,
Mike McCarthy,2016,53,GNB,NFL,16,10,6,0,.625,2.8,4.9,-2.0,3,2,1,.667,1,5,3,
Mike McCarthy,2017,54,GNB,NFL,16,7,9,0,.438,-1.9,-0.3,-1.6,,,,,3,4,3,
Mike McCarthy,2018,55,GNB,NFL,12,4,7,1,.375,-2.7,0.0,-2.7,,,,,3,1,1,Fired after Week 13
Mike McCarthy,2020,57,DAL,NFL,16,6,10,0,.375,-5.1,1.0,-6.1,,,,,3,2,1,
Mike McCarthy,2021,58,DAL,NFL,17,12,5,0,.706,9.9,8.2,1.7,1,0,1,.000,1,5,2,
Mike McCarthy,2022,59,DAL,NFL,17,12,5,0,.706,6.5,5.3,1.3,2,1,1,.500,2,2,0,
Mike McCarthy,2023,60,DAL,NFL,17,12,5,0,.706,9.2,6.5,2.7,1,0,1,.000,1,1,1,
Mike McCarthy,2024,61,DAL,NFL,17,7,10,0,.412,-6.3,-2.6,-3.7,,,,,3,5,1,
