coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%,Rank,Num,Won,Notes
Mike Shanahan,1988,36,RAI,NFL,16,7,9,0,.438,-3.6,-0.3,-3.3,,,,,3,,,
Mike Shanahan,1989,37,RAI,NFL,4,1,3,0,.250,1.8,0.0,1.9,,,,,3,,,
Mike Shanahan,1995,43,DEN,NFL,16,8,8,0,.500,3.1,3.3,-0.2,,,,,4,,,
Mike Shanahan,1996,44,DEN,NFL,16,13,3,0,.813,7.6,3.7,3.9,1,0,1,.000,1,,,
Mike Shanahan,1997,45,DEN,NFL,16,12,4,0,.750,10.7,8.1,2.6,4,4,0,1.000,2,,,Super Bowl Champions
Mike Shanahan,1998,46,DEN,NFL,16,14,2,0,.875,8.9,9.5,-0.6,3,3,0,1.000,1,,,Super Bowl Champions
Mike Shanahan,1999,47,DEN,NFL,16,6,10,0,.375,3.4,1.0,2.4,,,,,5,4,0,
Mike Shanahan,2000,48,DEN,NFL,16,11,5,0,.688,5.0,7.8,-2.7,1,0,1,.000,2,11,5,
Mike Shanahan,2001,49,DEN,NFL,16,8,8,0,.500,-0.5,0.5,-1.0,,,,,3,10,2,
Mike Shanahan,2002,50,DEN,NFL,16,9,7,0,.563,4.9,3.0,1.9,,,,,2,6,2,
Mike Shanahan,2003,51,DEN,NFL,16,10,6,0,.625,5.5,2.4,3.1,1,0,1,.000,2,6,2,
Mike Shanahan,2004,52,DEN,NFL,16,10,6,0,.625,5.9,1.6,4.3,1,0,1,.000,2,9,5,
Mike Shanahan,2005,53,DEN,NFL,16,13,3,0,.813,10.8,5.0,5.8,2,1,1,.500,1,18,11,
Mike Shanahan,2006,54,DEN,NFL,16,9,7,0,.563,1.3,-0.8,2.1,,,,,3,8,4,
Mike Shanahan,2007,55,DEN,NFL,16,7,9,0,.438,-3.9,-0.2,-3.8,,,,,2,10,5,
Mike Shanahan,2008,56,DEN,NFL,16,8,8,0,.500,-5.8,0.7,-6.5,,,,,2,9,2,
Mike Shanahan,2010,58,WAS,NFL,16,6,10,0,.375,-3.8,-3.4,-0.5,,,,,4,7,2,
Mike Shanahan,2011,59,WAS,NFL,16,5,11,0,.313,-4.1,-4.3,0.2,,,,,4,6,2,
Mike Shanahan,2012,60,WAS,NFL,16,10,6,0,.625,3.4,4.6,-1.2,1,0,1,.000,1,6,2,
Mike Shanahan,2013,61,WAS,NFL,16,3,13,0,.188,-9.3,-3.9,-5.4,,,,,4,6,3,
