coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
Mike Tomlin,2007,35,PIT,NFL,16,10,6,0,.625,5.2,0.9,4.3,1,0,1,.000,1,9,3,
Mike Tomlin,2008,36,PIT,NFL,16,12,4,0,.750,9.8,1.6,8.2,3,3,0,1.000,1,6,5,Super Bowl Champions
Mike Tomlin,2009,37,PIT,NFL,16,9,7,0,.563,1.7,1.0,0.7,,,,,3,4,2,
Mike Tomlin,2010,38,PIT,NFL,16,12,4,0,.750,10.2,2.5,7.7,3,2,1,.667,1,7,3,AFC Champions
Mike Tomlin,2011,39,PIT,NFL,16,12,4,0,.750,5.3,-0.8,6.0,1,0,1,.000,2,6,3,
Mike Tomlin,2012,40,PIT,NFL,16,8,8,0,.500,-0.7,-2.8,2.1,,,,,3,6,4,
Mike Tomlin,2013,41,PIT,NFL,16,8,8,0,.500,-2.0,-0.9,-1.0,,,,,2,6,4,
Mike Tomlin,2014,42,PIT,NFL,16,11,5,0,.688,2.2,4.4,-2.1,1,0,1,.000,1,6,2,
Mike Tomlin,2015,43,PIT,NFL,16,10,6,0,.625,8.7,5.1,3.6,2,1,1,.500,2,6,3,
Mike Tomlin,2016,44,PIT,NFL,16,11,5,0,.688,4.7,2.8,2.0,3,2,1,.667,1,5,2,
Mike Tomlin,2017,45,PIT,NFL,16,13,3,0,.813,5.0,3.2,1.8,1,0,1,.000,1,4,0,
Mike Tomlin,2018,46,PIT,NFL,16,9,6,1,.594,5.6,3.9,1.7,,,,,2,5,0,
Mike Tomlin,2019,47,PIT,NFL,16,8,8,0,.500,0.3,-4.3,4.6,,,,,2,8,3,
Mike Tomlin,2020,48,PIT,NFL,16,12,4,0,.750,4.7,0.3,4.4,1,0,1,.000,1,4,2,
Mike Tomlin,2021,49,PIT,NFL,17,9,7,1,.559,-2.5,-2.6,0.1,1,0,1,.000,2,2,0,
Mike Tomlin,2022,50,PIT,NFL,17,9,8,0,.529,-0.8,-3.0,2.3,,,,,3,2,0,
Mike Tomlin,2023,51,PIT,NFL,17,10,7,0,.588,0.7,-3.0,3.7,1,0,1,.000,3,7,4,
Mike Tomlin,2024,52,PIT,NFL,17,10,7,0,.588,2.1,-0.7,2.8,1,0,1,.000,2,3,1,
Mike Tomlin,2025,53,PIT,NFL,17,10,7,0,.588,0.1,-0.3,0.4,1,0,1,.000,1,1,0,
