coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%,Rank,Notes
Don Shula,1963,33,BAL,NFL,14,8,6,0,.571,2.0,0.8,1.2,,,,,3,
Don Shula,1964,34,BAL,NFL,14,12,2,0,.857,15.5,9.3,6.2,1,0,1,.000,1,
Don Shula,1965,35,BAL,NFL,14,10,3,1,.769,12.9,7.0,5.9,1,0,1,.000,1,
Don Shula,1966,36,BAL,NFL,14,9,5,0,.643,7.6,2.2,5.5,,,,,2,
Don Shula,1967,37,BAL,NFL,14,11,1,2,.917,13.2,6.4,6.8,,,,,1,
Don Shula,1968,38,BAL,NFL,14,13,1,0,.929,17.9,8.0,9.9,3,2,1,.667,1,NFL Champions
Don Shula,1969,39,BAL,NFL,14,8,5,1,.615,3.0,0.5,2.5,,,,,2,
Don Shula,1970,40,MIA,NFL,14,10,4,0,.714,-1.3,-1.3,0.0,1,0,1,.000,2,
Don Shula,1971,41,MIA,NFL,14,10,3,1,.769,7.7,2.4,5.3,3,2,1,.667,1,AFC Champions
Don Shula,1972,42,MIA,NFL,14,14,0,0,1.000,11.0,4.5,6.5,3,3,0,1.000,1,Super Bowl Champions
Don Shula,1973,43,MIA,NFL,14,12,2,0,.857,13.3,5.0,8.3,3,3,0,1.000,1,Super Bowl Champions
Don Shula,1974,44,MIA,NFL,14,11,3,0,.786,6.1,3.9,2.3,1,0,1,.000,1,
Don Shula,1975,45,MIA,NFL,14,10,4,0,.714,9.3,3.3,6.0,,,,,2,
Don Shula,1976,46,MIA,NFL,14,6,8,0,.429,-0.1,-1.8,1.7,,,,,3,
Don Shula,1977,47,MIA,NFL,14,10,4,0,.714,7.8,4.4,3.5,,,,,2,
Don Shula,1978,48,MIA,NFL,16,11,5,0,.688,7.6,4.2,3.3,1,0,1,.000,2,
Don Shula,1979,49,MIA,NFL,16,10,6,0,.625,4.3,0.3,4.0,1,0,1,.000,1,
Don Shula,1980,50,MIA,NFL,16,8,8,0,.500,-1.6,-4.6,3.1,,,,,3,
Don Shula,1981,51,MIA,NFL,16,11,4,1,.719,2.9,0.1,2.8,1,0,1,.000,1,
Don Shula,1982,52,MIA,NFL,9,7,2,0,.778,8.2,2.6,5.6,4,3,1,.750,1,AFC Champions
Don Shula,1983,53,MIA,NFL,16,12,4,0,.750,7.7,2.6,5.2,1,0,1,.000,1,
Don Shula,1984,54,MIA,NFL,16,14,2,0,.875,10.6,9.1,1.5,3,2,1,.667,1,AFC Champions
Don Shula,1985,55,MIA,NFL,16,12,4,0,.750,7.0,6.1,0.9,2,1,1,.500,1,
Don Shula,1986,56,MIA,NFL,16,8,8,0,.500,0.5,6.2,-5.7,,,,,3,
Don Shula,1987,57,MIA,NFL,15,8,7,0,.533,2.1,3.2,-1.1,,,,,3,
Don Shula,1988,58,MIA,NFL,16,6,10,0,.375,-2.8,1.0,-3.9,,,,,5,
Don Shula,1989,59,MIA,NFL,16,8,8,0,.500,-4.8,-0.6,-4.2,,,,,3,
Don Shula,1990,60,MIA,NFL,16,12,4,0,.750,4.7,0.5,4.2,2,1,1,.500,2,
Don Shula,1991,61,MIA,NFL,16,8,8,0,.500,-4.1,0.7,-4.8,,,,,3,
Don Shula,1992,62,MIA,NFL,16,11,5,0,.688,1.5,2.1,-0.6,2,1,1,.500,1,
Don Shula,1993,63,MIA,NFL,16,9,7,0,.563,-0.5,3.9,-4.3,,,,,2,
Don Shula,1994,64,MIA,NFL,16,10,6,0,.625,4.2,4.5,-0.3,2,1,1,.500,1,
Don Shula,1995,65,MIA,NFL,16,9,7,0,.563,2.7,3.1,-0.4,1,0,1,.000,3,
